Trace : with corresponding MRs On West First - XY
t	 Src	 Dest	 Pkts	 MRs-WF	 MRs-XY
1	9	3	7	3	3
7	4	1	11	3	3
11	6	14	18	2	2
13	0	9	10	3	3
14	1	11	22	3	3
15	11	3	2	2	2
21	11	12	12	3	3
28	12	14	19	2	2
29	4	14	9	3	3
34	12	6	12	4	3
41	7	14	9	3	3
44	2	13	2	3	3
44	3	11	19	2	2
47	3	10	21	3	3
52	9	8	15	3	2
57	15	13	10	3	2
61	6	5	10	3	2
66	13	9	8	2	2
68	12	11	13	3	3
74	2	0	23	3	2
76	0	14	3	3	3
76	8	6	15	3	3
81	2	9	19	3	3
83	15	4	20	3	3
85	4	0	4	2	2
91	0	11	17	3	3
95	0	7	6	3	3
97	11	1	19	3	3
99	6	2	2	2	2
100	13	1	6	2	2
103	15	10	13	3	3
103	10	9	23	3	2
105	9	2	23	3	3
110	9	12	1	3	3
110	14	5	14	3	3
111	5	9	10	2	2
111	2	10	6	2	2
112	12	3	7	3	3
119	7	6	17	3	2
126	4	6	10	2	2
132	13	12	20	3	2
138	6	3	19	3	3
145	7	9	16	3	3
146	15	9	1	3	3
153	1	13	20	2	2
154	14	13	23	3	2
158	2	6	16	2	2
163	0	4	4	2	2
170	10	7	23	3	3
172	7	8	20	3	3
173	11	9	12	3	2
175	14	3	17	3	3
179	14	12	10	3	2
183	5	4	20	3	2
190	9	14	5	3	3
195	15	2	18	3	3
197	4	12	21	2	2
204	3	0	8	3	2
209	8	3	12	3	3
216	5	6	21	2	2
217	13	10	17	2	3
222	11	8	4	3	2
223	7	4	18	3	2
229	14	11	3	3	3
234	5	7	23	2	2
237	3	2	7	3	2
244	8	0	10	2	2
246	10	4	21	3	3
250	14	1	16	3	3
255	14	9	15	3	3
260	4	7	16	2	2
262	10	0	14	3	3
269	10	6	12	2	2
272	14	4	13	3	3
272	2	11	23	3	3
277	3	5	4	3	3
281	3	8	22	3	3
281	13	7	23	3	3
288	6	13	7	3	3
288	13	8	3	3	3
292	9	10	17	2	2
293	5	8	12	3	3
294	10	5	8	3	3
295	8	1	18	3	3
299	6	9	9	3	3
302	12	15	23	2	2
303	5	13	8	2	2
305	5	1	6	2	2
308	1	0	11	3	2
314	3	1	21	3	2
319	0	8	6	2	2
319	1	9	9	2	2
323	1	6	15	3	3
329	0	12	17	2	2
335	9	1	3	2	2
342	2	5	21	3	3
344	8	2	17	3	3
347	9	13	14	2	2
353	4	15	10	3	3
354	12	8	7	2	2
355	14	0	8	3	3
360	11	2	9	3	3
363	15	1	18	3	3
370	5	11	8	3	3
370	8	12	22	2	2
373	8	13	21	3	3
379	14	2	12	2	2
382	1	15	23	3	3
382	3	13	21	3	3
382	12	10	8	3	3
382	10	11	10	2	2
382	6	12	11	3	3
387	10	14	17	2	2
392	10	1	10	3	3
395	15	8	14	3	3
401	4	9	16	3	3
0	0	0	0	2	0
Total MRs turned On XY-Routing---- 
297
Total MRs Turned On West First---- 
316
ClKs: 885
