Communication Matrix 2D : M*N cores 
4 4
Core0|  	0	17	11	22	4	17	4	6	6	10	8	17	17	1	3	1	
Core1|  	11	0	19	14	3	12	15	12	14	9	4	22	21	20	14	23	
Core2|  	23	6	0	11	18	21	16	11	19	19	6	23	3	2	21	9	
Core3|  	8	21	7	0	5	4	11	20	22	21	21	19	11	21	1	10	
Core4|  	4	11	14	18	0	0	10	16	14	16	16	14	21	2	9	10	
Core5|  	14	6	21	9	20	0	21	23	12	10	12	8	22	8	11	4	
Core6|  	0	15	2	19	17	10	0	14	18	9	5	9	11	7	18	0	
Core7|  	18	9	2	17	18	5	17	0	20	16	6	21	17	21	9	0	
Core8|  	10	18	17	12	11	23	15	22	0	23	4	14	22	21	4	22	
Core9|  	22	3	23	7	9	1	23	9	15	0	17	5	1	14	5	12	
Core10|  	14	10	2	22	21	8	12	23	18	23	0	10	23	0	17	20	
Core11|  	3	19	9	2	14	19	20	14	4	12	21	0	12	15	12	4	
Core12|  	1	6	5	7	18	2	12	20	7	11	8	13	0	0	19	23	
Core13|  	21	6	17	13	10	5	8	23	3	8	17	7	20	0	22	15	
Core14|  	8	16	12	17	13	14	3	13	21	15	19	3	10	23	0	8	
Core15|  	0	18	18	12	20	14	17	5	14	1	13	0	6	10	4	0	
