Trace : with corresponding MRs On West First - XY
t	 Src	 Dest	 Pkts	 MRs-WF	 MRs-XY
1	9	3	7	2	3
7	4	1	10	2	3
11	6	14	8	2	2
13	0	9	12	2	3
14	1	11	7	2	3
15	11	3	2	2	2
21	11	12	23	3	3
28	12	14	8	1	2
29	4	14	4	4	3
34	14	3	9	1	3
36	13	8	1	3	3
39	6	15	4	2	3
42	10	13	24	3	3
43	8	5	17	2	3
50	13	4	14	3	3
53	10	12	9	3	3
56	14	2	19	2	2
56	10	0	22	3	3
62	0	8	8	2	2
68	13	2	17	2	3
69	2	6	12	2	2
75	12	13	23	1	2
82	4	2	15	1	3
86	0	6	24	2	3
86	0	7	3	2	3
88	11	1	20	3	3
90	6	2	1	2	2
91	13	1	10	2	2
94	15	10	7	3	3
94	10	9	5	3	2
96	9	2	16	2	3
101	9	12	9	3	3
101	14	5	2	3	3
102	5	9	4	2	2
102	2	10	19	2	2
103	12	3	24	2	3
110	7	6	20	3	2
117	4	6	6	1	2
123	13	12	6	3	2
129	6	3	23	2	3
136	7	9	22	3	3
137	15	9	9	3	3
144	1	13	16	2	2
145	14	13	3	3	2
149	13	0	21	3	3
153	7	2	6	3	3
160	8	9	6	1	2
164	3	11	9	2	2
165	2	14	8	2	2
168	12	4	18	2	2
173	4	15	20	2	3
177	4	9	14	2	3
183	5	15	8	2	3
185	2	4	13	3	3
189	15	3	5	2	2
189	3	15	3	2	2
194	6	9	4	3	3
199	10	5	18	3	3
199	7	11	4	2	2
199	1	7	4	2	3
203	14	15	23	1	2
203	14	11	12	1	3
208	5	7	23	1	2
211	3	2	11	3	2
218	8	0	11	2	2
220	10	4	13	3	3
224	14	1	8	3	3
229	14	9	18	3	3
234	8	6	5	2	3
236	3	14	4	3	3
237	7	8	24	3	3
241	7	10	20	3	3
243	13	14	23	1	2
247	11	5	16	3	3
250	5	12	16	3	3
254	5	3	18	2	3
254	8	14	24	2	3
257	13	7	10	2	3
264	6	13	14	3	3
264	2	9	10	3	3
269	8	4	5	2	2
270	5	8	9	3	3
271	1	8	2	3	3
272	9	11	9	1	2
279	7	12	2	3	3
286	1	5	11	2	2
291	1	0	16	3	2
297	9	8	8	3	2
299	2	5	19	3	3
303	3	1	16	3	2
308	8	1	15	2	3
309	12	1	9	2	3
315	9	1	7	2	2
322	2	12	11	3	3
325	4	7	15	1	2
330	8	10	2	0	2
336	8	2	11	1	3
339	1	6	16	2	3
346	2	0	22	3	2
352	9	14	21	2	3
353	3	12	23	3	3
353	1	14	18	2	3
353	13	11	19	2	3
355	4	5	13	1	2
360	11	8	20	3	2
361	9	5	7	2	2
368	3	8	12	3	3
373	2	11	3	2	3
374	0	11	5	2	3
379	6	12	15	3	3
385	3	13	16	3	3
385	12	10	3	2	3
385	10	11	10	1	2
385	5	10	6	1	3
391	13	15	3	1	2
392	10	1	21	3	3
395	15	8	23	3	3
401	13	3	13	2	3
406	14	12	14	3	2
410	3	6	22	3	3
0	0	0	0	2	0
Total MRs turned On XY-Routing---- 
315
Total MRs Turned On West First---- 
275
ClKs: 780
