Communication Matrix 2D : M*N cores 
5 5
Core0|  	0	17	11	22	4	17	4	6	6	10	8	17	17	1	3	1	11	19	14	3	12	15	12	14	9	
Core1|  	4	0	22	21	20	14	23	23	6	11	18	21	16	11	19	19	6	23	3	2	21	9	8	21	7	
Core2|  	5	4	0	11	20	22	21	21	19	11	21	1	10	4	11	14	18	0	10	16	14	16	16	14	21	
Core3|  	2	9	10	0	14	6	21	9	20	21	23	12	10	12	8	22	8	11	4	0	15	2	19	17	10	
Core4|  	14	18	9	5	0	9	11	7	18	0	18	9	2	17	18	5	17	20	16	6	21	17	21	9	0	
Core5|  	10	18	17	12	11	0	23	15	22	23	4	14	22	21	4	22	22	3	23	7	9	1	23	9	15	
Core6|  	17	5	1	14	5	12	0	14	10	2	22	21	8	12	23	18	23	10	23	0	17	20	3	19	9	
Core7|  	2	14	19	20	14	4	12	0	21	12	15	12	4	1	6	5	7	18	2	12	20	7	11	8	13	
Core8|  	0	19	23	21	6	17	13	10	0	5	8	23	3	8	17	7	20	22	15	8	16	12	17	13	14	
Core9|  	3	13	21	15	19	3	10	23	8	0	0	18	18	12	20	14	17	5	14	1	13	0	6	10	4	
Core10|  	14	11	22	17	14	23	15	16	4	15	0	2	18	8	15	0	14	10	14	11	17	13	6	12	0	
Core11|  	17	6	2	3	13	11	5	12	4	5	11	0	8	8	14	3	13	5	0	9	21	15	7	10	1	
Core12|  	14	13	16	10	9	21	16	20	17	18	17	5	0	8	9	16	12	17	19	2	13	1	8	1	12	
Core13|  	22	9	11	15	7	4	7	1	13	13	18	13	1	0	11	9	16	14	1	8	10	23	6	18	13	
Core14|  	20	7	2	23	17	19	9	13	0	8	8	17	17	12	0	1	22	6	22	1	16	12	14	1	1	
Core15|  	15	2	13	2	20	11	12	15	21	8	18	14	17	9	10	0	9	10	14	8	2	19	17	6	23	
Core16|  	2	1	5	22	2	0	6	2	12	23	1	14	23	1	6	17	0	13	14	11	4	8	17	6	8	
Core17|  	5	19	2	19	23	9	7	4	7	20	5	21	19	0	9	17	21	0	23	20	22	14	14	8	4	
Core18|  	11	8	21	14	14	10	19	17	7	8	8	11	13	22	20	14	7	0	0	11	13	8	22	2	22	
Core19|  	19	2	22	9	19	20	10	0	23	16	16	15	4	6	10	5	10	11	0	0	11	19	6	12	21	
Core20|  	10	22	21	7	9	2	9	19	13	8	7	8	14	10	3	20	17	13	19	5	0	16	4	10	4	
Core21|  	14	22	19	3	3	11	9	16	6	20	20	19	20	19	14	5	12	1	22	10	13	0	23	5	0	
Core22|  	18	7	23	16	13	20	21	20	17	7	1	2	12	12	9	0	13	12	7	0	19	4	0	0	22	
Core23|  	7	13	12	8	18	21	6	13	9	15	13	9	8	14	1	8	21	0	17	17	15	9	13	0	5	
Core24|  	7	4	0	23	5	18	8	22	6	4	1	17	20	11	15	11	23	19	11	0	19	2	15	14	0	
