Communication Matrix 2D : M*N cores 
4 4
Core0|  	0	11	2	4	10	14	4	3	3	7	14	5	5	1	12	1	
Core1|  	11	0	10	2	12	6	6	9	2	3	7	7	6	11	8	5	
Core2|  	2	6	0	11	3	9	7	2	4	10	9	8	6	2	3	3	
Core3|  	14	6	1	0	8	13	2	14	7	12	12	4	8	6	4	13	
Core4|  	1	5	5	12	0	3	1	10	2	4	13	11	0	5	9	10	
Core5|  	5	6	6	3	8	0	9	8	9	4	6	5	1	11	11	13	
Core6|  	9	9	11	13	2	13	0	8	12	9	11	3	5	4	3	9	
Core7|  	0	12	11	8	6	11	5	0	14	7	0	9	2	3	12	12	
Core8|  	1	0	11	6	5	2	0	4	0	11	7	5	10	6	4	1	
Core9|  	10	12	11	7	12	7	2	3	3	0	5	14	4	8	11	3	
Core10|  	2	1	11	10	3	8	0	11	12	5	0	10	14	9	2	8	
Core11|  	3	10	6	2	5	1	11	14	10	6	6	0	3	9	3	4	
Core12|  	1	9	8	4	3	8	0	8	7	2	8	13	0	3	13	2	
Core13|  	6	0	2	13	4	14	11	5	6	5	14	4	11	0	13	3	
Core14|  	14	13	9	14	4	2	0	10	3	3	13	12	4	8	0	8	
Core15|  	0	3	3	0	11	8	11	14	8	4	7	12	12	13	7	0	
