Trace File carries 
<t	 Src	 Dest	 PKTs>
 7	9	3	7
 9	4	1	5
 14	6	14	3
 19	0	9	7
 19	1	11	7
 19	11	3	2
 21	11	12	3
 27	12	14	13
 32	4	14	9
 34	14	3	14
 39	13	8	6
 43	6	15	9
 48	10	13	9
 52	8	5	2
 56	13	4	4
 57	13	9	5
 57	12	11	13
 63	2	0	2
 63	0	14	12
 65	13	2	2
 70	2	6	7
 72	12	13	3
 75	4	2	5
 80	0	6	4
 84	11	4	5
 88	7	2	11
 92	1	2	10
 92	2	1	6
 95	15	10	7
 98	10	9	5
 100	9	2	11
 104	9	12	4
 106	14	5	2
 112	5	9	4
 117	2	10	9
 118	12	3	4
 124	7	6	5
 126	4	6	1
 127	13	12	11
 127	6	3	13
 128	7	9	7
 130	15	9	4
 132	1	13	11
 135	14	13	8
 138	6	2	11
 144	6	13	4
 146	4	15	10
 152	7	8	14
 156	11	9	6
 160	12	4	3
 164	9	14	11
 165	15	2	3
 166	0	13	1
 172	3	15	13
 172	6	9	9
 172	10	5	8
 178	7	11	9
 178	1	7	9
 179	14	15	8
 182	0	4	10
 185	13	14	13
 189	3	2	1
 193	8	0	1
 193	10	4	3
 196	14	1	13
 200	14	9	3
 204	4	7	10
 204	10	0	2
 204	11	1	10
 206	14	4	4
 210	2	11	8
 210	3	5	13
 210	4	5	3
 213	14	11	12
 216	5	0	5
 217	13	7	5
 218	0	2	2
 223	4	9	4
 228	9	5	7
 234	1	0	11
 237	1	8	2
 242	9	11	14
 248	7	12	2
 248	1	5	6
 250	8	10	7
 250	5	4	8
 251	10	7	11
 256	3	1	6
 261	0	8	3
 262	1	9	3
 262	1	6	6
 268	0	12	5
 273	9	1	12
 274	2	5	9
 276	5	8	9
 277	9	10	5
 283	8	2	11
 287	9	13	8
 291	9	6	2
 297	12	8	7
 299	14	0	14
 303	11	2	6
 306	15	1	3
 312	5	11	5
 313	5	7	8
 317	6	8	12
 323	3	8	7
 323	1	15	5
 328	0	11	5
 330	6	12	5
 334	3	13	6
 337	14	2	9
 339	6	1	9
 341	12	10	8
 342	0	7	3
 343	5	10	6
 346	8	3	6
 346	10	1	1
 346	15	8	8
 349	13	3	13
 353	14	12	4
 358	3	12	8
 360	6	5	13
 361	1	14	8
